Author,Name,Video,Status
Paul Mauriat,Love is Blue,https://www.youtube.com/watch?v=p9FYD1dlw4E,
Madonna,La Isla Bonita,https://www.youtube.com/watch?v=7YzW1nMB9fk,
Secret Garden,Song from a Secret Garden,https://www.youtube.com/watch?v=wasYNNfnfVE,
Duck Sauce,Barbra Streisand,https://www.youtube.com/watch?v=uu_zwdmz0hE,
Barbra Streisand,Woman in Love,https://www.youtube.com/watch?v=0KJ60uJZ3-Q,
Arabesque,Midnight Dancer,https://www.youtube.com/watch?v=tz0R6f-Txmc,
Deep Forest,Sweet Lullaby,https://www.youtube.com/watch?v=tPPsS4-Dsxg,
Deep Forest,Sunrise at Alcatraz,https://www.youtube.com/watch?v=d-02gWcYCYI,
Will Young,I Just Want a Lover,https://www.youtube.com/watch?v=tzFpF8xWVtQ,
George Harrison,I Got My Mind Set on You,https://www.youtube.com/watch?v=-_niy2ZM5Jo,
Laid Back,Sunshine Reggae,https://www.youtube.com/watch?v=mPjIC0TRstY,
Michael Buble,Feeling Good,https://www.youtube.com/watch?v=Edwsf-8F3sI,
Gipsy Kings,Volare,https://www.youtube.com/watch?v=oNgSeJzLJFc,
Gipsy Kings,Bamboleo,https://www.youtube.com/watch?v=mifnMC_Kn1Q,
Tina Turner,Simply The Best,https://www.youtube.com/watch?v=mNU3aIJs88g,
Michael Jackson,We are the World,https://www.youtube.com/watch?v=ne7fPpxAnuM,
Eurythmics,Sweet Dreams,https://www.youtube.com/watch?v=qeMFqkcPYcg,
Eurythmics,There Must Be An Angel,https://www.youtube.com/watch?v=TlGXDy5xFlw,
Eurythmics,Miracle of Love,https://www.youtube.com/watch?v=yOGD1WkJJok,
Bruno Pelletier,Le Temps Des Cathedrales,https://www.youtube.com/watch?v=EocLKUzsaoc,
Bruno Pelletier,Le blues de businessman,https://www.youtube.com/watch?v=5W2mx8URZ54,
Moloko,Sing it Back,https://www.youtube.com/watch?v=Z06gUeqUpeo,
Ennio Morricone,The Mission Main Theme,https://www.youtube.com/watch?v=oag1Dfa1e_E,
Ennio Morricone,Chi Mai,https://www.youtube.com/watch?v=05PwZDSEzfE,
In-Grid,Tu es Foutu,https://www.youtube.com/watch?v=qOGSqC7xds8,
Duran Duran,Come Undone,https://www.youtube.com/watch?v=ICnlyNUt_0o,
Duran Duran,Ordinary World,https://www.youtube.com/watch?v=dDLiVwpv89s,
Michael Jackson,Thriller,https://www.youtube.com/watch?v=sOnqjkJTMaA,
Michael Jackson,Billie Jean,https://www.youtube.com/watch?v=Zi_XLOBDo_Y,
Michael Jackson,Bad,https://www.youtube.com/watch?v=dsUXAEzaC3Q,
Michael Jackson,The Way You Make Me Feel,https://www.youtube.com/watch?v=HzZ_urpj4As,
Michael Jackson,Remember The Time,https://www.youtube.com/watch?v=LeiFF0gvqcc,
Michael Jackson,Black or White,https://www.youtube.com/watch?v=F2AitTPI5U0,
Michael Jackson,Earth Song,https://www.youtube.com/watch?v=XAi3VTSdTxU,
Michael jackson,Beat It,https://www.youtube.com/watch?v=Ym0hZG-zNOk,
Michael Jackson,Heal the World,https://www.youtube.com/watch?v=BWf-eARnf6U,
Jason Donoval,Sealed with a Kiss,https://www.youtube.com/watch?v=7ufGxqxeBJE,
BJ Thomas,Raindrops Keep Falling On My Head,https://www.youtube.com/watch?v=OT1HCQcSHW0,
Bj Thomas,Hooked on a Feeling,https://www.youtube.com/watch?v=Wqt_iZBvtCo,
Richie Poveri,Sara perche ti amo,https://www.youtube.com/watch?v=8wA_0lSxkG8,
Richie Poveri,Mamma Maria,https://www.youtube.com/watch?v=kjNDzOWIdY8,
Richie Poveri,Voulez Vous Danser,https://www.youtube.com/watch?v=eTbdqmHQ8Ms,
Richie Poveri,Come Vorrei,https://www.youtube.com/watch?v=7LuHhH_1kVw,
Richie Poveri,Cosa Sei,https://www.youtube.com/watch?v=zxXXdfHayJI,
Chris Rea,Driving Home For Christmas,https://www.youtube.com/watch?v=EvDxSW8mzvU,
Chris Rea,On the Beach,https://www.youtube.com/watch?v=6X0FjlybCqs,
Chris Rea,Josephine,https://www.youtube.com/watch?v=AbCmMaqG8_Q,
Chris Rea,Looking for the Summer,https://www.youtube.com/watch?v=FIL8PxLmjm4,
Chris Rea,All Summer Long,https://www.youtube.com/watch?v=Mp357-zggaE,
Blue,Sorry Seems to be the hardest word,https://www.youtube.com/watch?v=GvbQzRAi4wM,
Maggie Reilly,To France,https://www.youtube.com/watch?v=bGbcYNk4U7Y,
Karen Ramirez,Looking for Love,https://www.youtube.com/watch?v=2lZASb4mAfM,
Karen Ramirez,Troubled Girl,https://www.youtube.com/watch?v=leE7jjcdR0A,
Elton John,Your song,https://www.youtube.com/watch?v=mTa8U0Wa0q8,
Elton John,Sacrifice,https://www.youtube.com/watch?v=NrLkTZrPZA4,
Guns N'Roses,November Rain,https://www.youtube.com/watch?v=eLoQteiJNOU,
Elton John,Tiny Dance,https://www.youtube.com/watch?v=hoskDZRLOCs,
Elton John,Rocket Man,https://www.youtube.com/watch?v=-LX7WrHCaUA,
Billy Joel,Piano man,https://www.youtube.com/watch?v=gxEPV4kolz0,
Billy Vaughn,Wheels,https://www.youtube.com/watch?v=bAjEoucl110,
Ardis,Aint nobodys business,https://www.youtube.com/watch?v=RJDoIxL1To8,
One Republic,Secrets,https://www.youtube.com/watch?v=qHm9MG9xw1o,
One Republic,All The Right Moves,https://www.youtube.com/watch?v=qrOeGCJdZe4,
The Fugees,Killing Me Softly With His Song,https://www.youtube.com/watch?v=oKOtzIo-uYw,
MC Hammer,U cant touch this,https://www.youtube.com/watch?v=otCpCn0l4Wo,
Boney M,Rasputin,https://www.youtube.com/watch?v=kvDMlk3kSYg,
Boney M,Daddy Cool,https://www.youtube.com/watch?v=QtxlCsVKkvY,
